uid,district,truename
752,Záhorská Bystrica,Pod vŕškami
753,Petržalka,OC Einsteinova
754,Ružinov,Stachanovská
755,Záhorská Bystrica,Bystrické sady
756,Podunajské Biskupice,Ligurčeková
757,Ružinov,Jelačičová
758,Ružinov,Alejová
759,Podunajské Biskupice,Farmárska
760,Staré Mesto,Gorazdova
761,Vrakuňa,Bodvianska
762,Devínska Nová Ves,Napájiská
763,Podunajské Biskupice,Ovčiarska
764,Rača,Horáreň Krasňany
765,Ružinov,Pálenisko
767,Lamač,Nemocnica Bory
768,Rača,Mokraď
769,Petržalka,Bratská
770,Petržalka,Nesto
771,Záhorská Bystrica,Kulháň
773,Nové Mesto,Kačín
774,Ružinov,Pri Letisku
775,Rača,Muničné sklady
